Age,ADM[x10^22 Am^2]
24.8,6.84854
24.75,6.99052
24.7,7.12371
24.65,7.23699
24.6,7.32492
24.55,7.38466
24.5,7.41234
24.45,7.4069
24.4,7.37432
24.35,7.32337
24.3,7.26182
24.25,7.19742
24.2,7.13483
24.15,7.0782
24.1,7.0319
24.05,6.99802
24,6.97449
23.95,6.95716
23.9,6.94165
23.85,6.92458
23.8,6.90233
23.75,6.87182
23.7,6.82966
23.65,6.77406
23.6,6.70863
23.55,6.63777
23.5,6.56664
23.45,6.49966
23.4,6.44302
23.35,6.40268
23.3,6.38406
23.25,6.39233
23.2,6.42518
23.15,6.48001
23.1,6.55371
23.05,6.64268
23,6.7394
22.95,6.8369
22.9,6.92742
22.85,7.00371
22.8,7.06242
22.75,7.10018
22.7,7.11415
22.65,7.10302
22.6,7.07406
22.55,7.03708
22.5,7.00165
22.45,6.97552
22.4,6.96415
22.35,6.97087
22.3,6.99932
22.25,7.0513
22.2,7.1219
22.15,7.20415
22.1,7.29078
22.05,7.37535
22,7.45294
