"","Date","Code","SampleID","i161","i196","Ratio","nGrains","calibrated","SampleCode","Frame","Treatment","TreeNumber","Sampling_Number","calBatch"
"128",2025-02-28,3208,"J351",3271618,5543410,0.590181494783897,150,0.511593589793771,"C_UV_025_(1st sampling)","C","UV","025","01","2025-02-28"
"129",2025-02-28,3209,"J354",3643932,5484881,0.664359354377971,150,0.555077133697409,"C_CON_027_(1st sampling)","C","CON","027","01","2025-02-28"
"130",2025-02-28,3210,"J357",3365415,5269325,0.638680476152069,150,0.540024008211683,"D_CON_039_(1st sampling)","D","CON","039","01","2025-02-28"
"131",2025-02-28,3211,"J359",3031556,5013101,0.604726695113464,150,0.520120080859691,"E_UV_043_(1st sampling)","E","UV","043","01","2025-02-28"
"132",2025-02-28,3212,"J363",3466269,4925848,0.703689801228134,150,0.578132897529336,"E_CON_049_(1st sampling)","E","CON","049","01","2025-02-28"
"133",2025-02-28,3213,"J366",1620846,5299859,0.305828136182491,150,0.344903800946331,"F_UV_052_(1st sampling)","F","UV","052","01","2025-02-28"
"134",2025-02-28,3214,"J369",3066469,5207866,0.588814881181659,150,0.510792472008795,"F_CON_060_(1st sampling)","F","CON","060","01","2025-02-28"
"135",2025-02-28,3215,"J372",2999542,5094142,0.588821827110434,150,0.510796543757434,"A_UV_001_(1st sampling)","A","UV","001","01","2025-02-28"
"136",2025-02-28,3216,"J375",3279365,5296910,0.619109065474022,150,0.528551119938388,"A_UV_001_(2nd sampling)","A","UV","001","02","2025-02-28"
"137",2025-03-04,3227,"J378",4089730,5348648,0.764628743562859,150,0.629814823691273,"A_UV_004_(1st sampling)","A","UV","004","01","2025-03-04"
"138",2025-03-04,3228,"J381",3194680,5407216,0.590817899636338,150,0.545281089272218,"A_UV_004_(2nd sampling)","A","UV","004","02","2025-03-04"
"139",2025-03-04,3229,"J384",3123353,5350276,0.583774182864585,150,0.541855343965106,"A_CON_006_(1st sampling)","A","CON","006","01","2025-03-04"
